feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9
78011000	61028000		194690000	138920000	223030000	154400000	113230000	
1194900000	1014100000	1123300000	4679500000	4606000000	4709000000	784210000	760960000	550280000
10885000000	12107000000	8957500000	11763000000	9644200000	12108000000	7909200000	8703800000	8293600000
1.30E+11	1.27E+11	1.20E+11	1.10E+11	1.19E+11	1.14E+11	69597000000	76386000000	73197000000
3463200000	3826600000	3369100000	4517600000	3542300000	3596800000	3734400000	3837500000	4386500000
48757000	93851000	46245000		56702000	56998000			
155200000	181730000		120130000	156460000		113490000	157170000	
130110000	103710000	87063000	110750000	109800000		114260000	88941000	
1044600000	1098500000	1024600000	1032900000	811330000	885130000	552930000	1122000000	1288800000
1212000000	1359100000	1337800000	930660000	834420000	1084300000	925520000	1510400000	890140000
71979000000	73909000000	70798000000	67309000000	52988000000	61560000000	55512000000	56503000000	60604000000
1737600000	2179700000	1310100000	1698100000	481140000	544170000	1349400000	1176600000	1462600000
	70492000		57705000	38354000		43485000		
			49499000	62357000	73236000	58220000		
76263000	80878000		60688000		247410000			79848000
64733000	81026000		42989000			163100000	64848000	65667000
447870000	422710000	279110000	64159000	411200000	454400000	529240000	370530000	300060000
147070000	80803000	64182000	25549000		92939000	120950000	110280000	131270000
200570000	177030000				109130000	35847000	123160000	
	24256000	58190000	49064000				60110000	
31415000					61434000		53839000	
1242600000	1422300000	1193600000	1041200000	1383700000	1409700000	1276600000	1462200000	1610800000
573310000	673070000	519190000	560010000	435980000	602310000	506820000	712610000	625340000
55204000		125880000	139550000	108400000	95375000	207200000	203760000	455760000
	50403000		68244000		106360000		82303000	
		208220000		223750000	226460000			
738440000	625690000	109360000	1219700000	1073900000	967620000	1175600000	1172700000	900060000
2281500000	1888400000	2832700000	3724000000	3308500000	3462000000	3159300000	3061800000	4008400000
159460000	202210000	237410000	192350000	146230000	239630000	237190000	174500000	146190000
196840000	116660000	274260000	177840000	190790000	281400000		149540000	175430000
1037000000	786940000	849650000	1305700000	1818100000	1445600000	1183100000	1274700000	570700000
207750000	220510000	180290000	202870000	176710000	91119000	210120000	280650000	196300000
8759600000	8460700000	8782000000	6934600000	4831200000	5611000000	7618000000	7952500000	7321700000
2336000000	2273600000	2517300000	2810300000	3272200000	1845400000	1923900000	2607300000	1994500000
1671600000	1739300000	1733100000	1890100000	1736200000	1905100000	1708900000	1593100000	1584900000
	84038000		35657000	82227000	140040000	109500000	126840000	109870000
149390000	61794000	145790000	197290000	105830000	190190000	122700000	183790000	173930000
330680000	271670000	200990000	510160000	440150000	445580000	348890000	340120000	478110000
639760000	481210000	583220000	533240000	675770000	651380000	470210000	526370000	652970000
327910000	363470000	248430000	414860000	257640000	245530000	230800000	413370000	537930000
76294000	144810000		130650000				43887000	68693000
1991100000	1917900000	1789900000	2241300000	1693600000	2030000000	2237700000	2385300000	2973800000
2409600000	2088900000	1752800000	645850000	1937400000	1499200000	757890000	322000000	427070000
4827800000	4557000000	5186900000	3986700000	2461400000	2843700000	2221200000	2410300000	1936500000
1907300000	1909400000	1833600000	1900900000	1577600000	1945000000	1908400000	1500700000	2191400000
190820000	221620000		244500000	248240000	133110000	161730000	185580000	181100000
2261300000	2948600000	3220300000	4222800000	3231100000	4101400000	2267000000	3095300000	2770000000
								254940000
1502700000	1695000000	1818700000	2962100000	2432500000	2838400000	2961200000	2709700000	2448000000
1.41E+11	1.19E+11	1.08E+11	1.20E+11	1.27E+11	1.38E+11	1.16E+11	1.16E+11	1.14E+11
			6434100	18197000	7209700	36526000	48603000	
211010000		224980000		214770000	64491000	113610000	104290000	101960000
155400000	75318000				134810000	167530000		
			51729000				54384000	
1258000000	1298300000	1072700000	1155100000	1070600000	1045000000	987830000	1306800000	1595600000
3912400000	3776900000	3344900000	3651100000	3316700000	2502100000	2521700000	2509300000	2211000000
920180000	1051900000	889660000	1017400000	861600000	1130300000	701450000	788970000	800010000
545250000	290110000	272620000	385300000	313800000	684580000	284130000	330540000	427200000
		70940000	148060000					88380000
				31045000				
339100000	355210000	157850000	165720000	108510000	120620000		180670000	154650000
1523200000	1627400000	1412300000	2006400000	1249600000	1791200000	1477700000	1492800000	1556400000
			149300000		114940000	193140000	127500000	160630000
169230000	216890000	134330000	283650000	370820000	199410000	213500000	192300000	153140000
15855000000	16332000000	18589000000	8292300000	6970000000	8247600000	8778900000	9422800000	9712600000
501440000	423250000	391840000	656030000	370480000	332570000	337050000	635470000	430700000
213720000		98278000	393500000	152030000	152180000	136560000	233610000	150090000
	63700000		97304000	81356000			68054000	
1327700000	1236500000	703480000	787960000	703900000	681660000	503810000	856900000	437200000
365280000	528710000	334110000	386080000	255700000	268580000	239290000	255880000	220980000
677900000	837770000	800900000	532060000	434380000	547840000	502620000	643980000	728190000
			179480000		144190000	156750000	201460000	130720000
				30185000	21660000			
108680000	161200000		137590000	128290000	213250000	94515000		117130000
916000000	1433000000	1221000000	1792800000	1886500000	1711300000	1688600000	1770000000	1962200000
205540000								
5382200000	5077200000	5024300000	6383500000	5992100000	7122900000	6015200000	6742700000	5253600000
106030000	91379000	85309000						
8459900000	7602900000	7130900000	4684100000	7115800000	7904700000	7772600000	4902900000	5628700000
42011000					99632000	95691000	83477000	90361000
48256000		38290000		48762000	45852000		44292000	41079000
219400000	288410000	182750000	275190000	314500000	457610000	303110000	349720000	231030000
					55949000	60095000		99438000
		93999000	45154000	57906000	57309000	42640000	68602000	56658000
3212100	35615000	30121000	144620000	26928000	49667000		81703000	38196000
814450000	763650000	958020000	234570000	780520000	507800000	482250000	324570000	314320000
287420000	288190000	170830000	270630000	166300000	211490000	174750000	326870000	231060000
1257400000	1647400000	1635700000	2005600000	1627300000	1852200000	1347500000	1345900000	1900800000
307300000	301060000	303420000	529500000		396550000	261720000	302290000	229560000
1941500000	1674500000	1924700000	2379500000	1927300000	2032300000	1711900000	1881500000	1853800000
7317300000	7781700000	7984100000	4677100000	3410200000	3918100000	5825500000	7626900000	8088000000
10118000000	10135000000	9060700000	10249000000	9679000000	10340000000	9898000000	10275000000	11837000000
138840000				89044000	134610000	125180000		61547000
1318400000	1364700000	1388200000	1712800000	1349500000	1928800000	955410000	2618800000	1533400000
317210000	313350000	253350000	555550000	504160000	271630000		543680000	485920000
			63631000			62306000	76658000	
1961200000	2153300000	2756500000	2118700000	2070600000	2055500000	2073800000	2117600000	2045500000
		130360000	69135000	63695000		71221000		
974070000	549900000	706740000	818980000	820960000	746550000	292290000	496840000	232430000
				160810000	160460000			117840000
		152430000	274370000		457390000	508540000	477050000	460070000
		152330000	266920000		295620000		202530000	202170000
	11094000	16503000		357500000		13458000	65289000	
2401300000	2656000000	2406200000	3103600000	2695500000	2758400000	2395300000	2764000000	3369200000
2863700000	3126800000	3130900000	4444300000	4014200000	4405200000	3077200000	3768600000	4219800000
			203700000	271970000	272080000			
	174630000	215030000	179980000	119590000	246370000	199950000	177890000	59699000
530140000	673730000		234670000	184640000	409700000	567250000	507380000	455480000
113290000	112640000	114440000	102020000	13270000	69308000	111740000	39188000	73151000
802440000	606060000	1131400000	2307700000	1898500000	1997000000	2281300000	2882400000	2464700000
63406000	53333000	56225000						
528250000	516060000	341170000	640430000	581880000	390260000	574630000	625060000	695210000
313710000	238350000	111420000	123870000	129140000	117370000	133270000	113300000	
328660000	421340000	489030000	210890000	357190000	355610000	224920000	472550000	197270000
115290000	133890000		370670000	254880000	304230000	256750000		
4093600000	2348500000	2350300000	3499400000	5040600000	6012000000	6060500000	7063500000	6488500000
663520000	1122700000	1041900000	1529100000	1059500000	1293900000	1104700000	1282400000	1704300000
								63500000
1988800000	2050700000	2376200000	1970800000	2134000000	2612900000	1632400000	1647200000	2338200000
	80091000							
74303000000	65577000000	68853000000	27332000000	30295000000	26929000000	51508000000	43107000000	51407000000
							204270000	
				74150000	73547000	74602000	88081000	95456000
118850000	125100000		164470000	90622000	102910000	100190000	179420000	
2477000000	2372100000	2331300000	3136400000	2088600000	2496700000	2330100000	3012000000	2959600000
7317000000	7499700000	5972200000	8602300000	7817900000	7600400000	6648600000	7641700000	7851400000
	155260000	158690000		121320000		129940000	129350000	164020000
		143110000	175170000			94466000	124090000	118060000
61173000	34515000		41089000			98503000		
27259000	41921000							
1351300000	1658300000	1001800000	798820000	772770000	1102800000	956750000	931310000	1452600000
19194000			6796200			35789000		20833000
			103770000	87150000	101650000			
53730000000	56990000000	41824000000	47503000000	49155000000	54679000000	43051000000	38243000000	28545000000
		252320000		216260000	233950000	114880000	146680000	171460000
1492800000	1452700000	1516100000	1817000000	1626500000	1978100000	1646400000	1528200000	1845500000
13853000000	14804000000	15583000000	19312000000	24613000000	22135000000	19576000000	25347000000	24082000000
516210000	540560000	241160000	143700000	594000000	701220000	175860000	331260000	
339610000	377610000	592400000	370900000	148380000	228740000	131530000	230890000	423130000
4752600000	4320800000	4810900000	4077100000	4992900000	5869400000	4964300000	4651500000	5239100000
					107320000		104770000	125580000
2046200000	2201700000	1460300000	2454700000	2432300000	2637200000	2247100000	2932600000	2517300000
15294000000	15899000000	14675000000	15011000000	15464000000	15241000000	12608000000	12734000000	15320000000
3188400000	3067100000	2396500000	3055700000	2450800000	3057300000	2196700000	1960900000	2146300000
11689000000	9951400000	12931000000	12436000000	11544000000	9917000000	10015000000	10773000000	11150000000
849660000	504370000	764300000	751940000	815990000	889680000	739060000	982000000	537790000
		41291000						55541000
356060000	454800000	335980000	471270000	357410000	323570000	390470000	550680000	363120000
66465000		91961000	98223000	77523000	138700000		84840000	96100000
						39062000		
	117520000	116360000	109280000	121620000		91987000	99260000	140170000
3534200000	3554000000	3668300000	5614000000	4217300000	5281300000	5016500000	5473500000	5995300000
374620000	429810000	218330000	441650000		511520000		311430000	
	157070000	162450000	142210000	156390000	165970000	136560000		138870000
	93908000	176710000	255480000	164140000	211170000	227400000	153850000	206530000
180520000	290780000	149160000	220130000	220250000	260180000	235900000	272180000	205730000
		190510000					322310000	171820000
858460000	814400000	1007700000	428190000	266130000	494260000	510080000	379720000	738450000
505750000	576350000	709850000	312500000	264680000	228830000	620770000	552030000	430110000
430390000	447530000	307820000	237050000	218440000	229700000	265300000	343410000	200930000
719890000	945180000	866800000	694930000	293000000	383520000	596470000	481780000	578070000
400140000	245260000	572180000	444410000	497390000	471390000	543950000	480180000	350290000
1966700000	1942100000	1854500000	1138200000	1163800000	1237600000	1398700000	1664600000	1317400000
436250000	302070000	616460000	1975800000	1456000000	1022200000	2169500000	2121400000	2879000000
	30854000	73233000						
4219400000	3484000000	3999100000	3523000000	3831600000	4461600000	3745400000	3432200000	5162400000
311280000	317990000	292780000	380930000	323880000	385620000	301890000	336000000	324480000
18347000000	19922000000	17713000000	27310000000	23589000000	26468000000	18611000000	21518000000	21793000000
233660000	161460000	222280000	203500000	213960000	229300000	139840000	212540000	218130000
			97018000					
					59942000			
338590000	408000000	533870000	787610000	697060000	871170000	806900000	378290000	1335300000
3859600000	3859400000	3742900000	2647100000	2374900000	2868400000	2251400000	2115000000	2610700000
10640000000	10967000000	10962000000	9696300000	9693900000	10814000000	8272400000	9355200000	10327000000
200220000	247800000	188170000	332300000	381100000	371930000	221600000	236590000	10777000
89408000	106760000		104250000				89176000	
	107480000	130580000	149290000	179670000	71718000			
20353000000	18125000000	20159000000	23063000000	26215000000	23914000000	16032000000	22348000000	18578000000
	61995000	100520000			51900000			53309000
568320000	740800000	591750000	329780000	289590000	541620000	355790000	113570000	279970000
1132800000	1074500000	1111700000	753450000	210030000	187750000	489260000	641400000	562020000
2964000000	3341900000	2642000000	2168000000	1804800000	1828800000	1886300000	2361000000	2514300000
188360000	25031000					509500000	331980000	467540000
46173000	147320000	348290000	462380000	90200000	279860000	354890000	400200000	402720000
1017300000	1214300000	989610000	1299800000	1116900000	1136100000	907030000	1031100000	1216200000
157740000	223750000	185580000	237650000	189780000	218310000		194360000	
147060000	192400000		236670000	222550000	133220000	156950000	174220000	205410000
780980000	636140000	438010000	350100000	437520000	553450000	504500000	647140000	529260000
209760000	248800000	259240000	230950000		151830000	194280000		280950000
3361100000	3362300000	2839400000	3408100000	3018500000	4681100000	3633500000	4076000000	4238500000
1849300000	1860200000	1886000000	2479400000	2141200000	2450000000	1948900000	2491700000	2550300000
			128120000	73280000			49445000	
244580000	359360000	433900000	571940000	443260000	464800000	417710000	405800000	555790000
119780000	149510000	127340000		115930000	52091000		93043000	55016000
			27066000					
7511000000	7395500000	7523200000	7436600000	6368000000	6408500000	5348000000	5374400000	6067900000
						45088000		24962000
593730000	384520000	204000000	828600000	662310000	353120000		499940000	1088600000
74071000	72779000	124550000	88650000		92331000		77086000	123020000
129400000	437150000	83039000	167750000	140810000	137090000	53067000	25293000	60867000
2893200000	3522700000	3339700000	3224000000	3037700000	2841700000	2680900000	3099100000	2902500000
1.03E+11	1.12E+11	1.23E+11	1.09E+11	1.19E+11	1.27E+11	1.14E+11	1.04E+11	1.22E+11
8473000000	9419000000	9170700000	4321000000	3793700000	3799900000	5082600000	4920900000	4626200000
8882200000	9213000000	9756400000	2916600000	2966700000	2813000000	3227500000	3158000000	3521800000
9759600000	8663800000	10452000000	4025000000	3440300000	3942900000	3517200000	4441000000	4740100000
200890000	209600000	439350000	200340000	210750000	311970000	269070000		212630000
4698700000	6144600000	4797700000	7620200000		2478200000	4733400000	1284200000	1043000000
	2097600000	2757900000	3349100000	4946900000	3323300000	3690200000	4410400000	4075600000
4233100000	4985400000	4339700000	4309300000	3231200000	3974700000	3032500000	3331700000	3371100000
10686000000	9487400000	12805000000	9393200000	5794200000	6731900000	12754000000	11387000000	11372000000
247050000	284660000	298440000	356940000	297390000	243510000	436420000	289510000	235590000
84280000	151680000	87939000		53282000		97023000		
		5674000	6633700		60719000	19701000	25806000	
			102670000				63413000	
324470000	402130000	396780000	481190000	582470000	762540000	315550000	583110000	447290000
138410000	203190000	148290000	151510000		124160000	170390000	130920000	43771000
10018000000	11003000000	10070000000	13394000000	13016000000	12642000000	11762000000	11771000000	10609000000
474870000	386330000	385720000	292890000	345650000	330910000	471160000	723140000	549560000
		44373000				21269000		34645000
826060000	707940000	946010000	958420000	909170000	1075400000	765110000	747330000	1050700000
217500000	118910000	128660000	75913000	259990000	270850000	174360000	152300000	272720000
120620000	68517000	180490000	232810000	182170000	148780000	158820000	208760000	234890000
135810000			257020000	237290000	226960000	106860000	179860000	146670000
						24875000		
71586000	58579000	112120000	64332000	68225000	94642000	69780000	83328000	49738000
69574000			101390000		103470000	90185000		103860000
13824000000	14382000000	15840000000	7313600000	6223700000	7076100000	6892600000	7730400000	8631700000
260830000	247520000	396180000	271320000	197660000	175060000	226860000	253040000	407840000
542760000	581810000	417330000	605200000	423370000	339860000	577910000	477660000	376310000
1654900000	1879900000	2112700000	2464200000	2356600000	2924900000	2282200000	2485600000	2647600000
123100000	74359000	65424000	78779000		57016000	43019000		60689000
80035000			91062000	72629000	92515000		85963000	
56551000	80158000	85856000			78380000			
		88921000	28290000	132910000	83123000			
17651000000	19254000000	21652000000	28258000000	21012000000	21643000000	25694000000	27148000000	27442000000
218920000	170150000	285410000	508550000	342570000		215370000	163180000	292180000
95780000				33644000	49682000		41913000	83345000
32388000000	30696000000	26535000000	26447000000	27216000000	29291000000	29549000000	27532000000	27852000000
	114500000	145290000	326520000	149230000		150180000		173060000
	92863000		129000000		120620000	96468000	104540000	103820000
	3775100							1287500
1242100000	1655300000	1435600000	1340500000	1283800000	1099600000	938110000	1281700000	1221400000
	242520000	153210000	187450000	100100000		120080000	131870000	131410000
453260000	396750000	475150000	469710000	362690000	446640000	523920000	412920000	509770000
		65176000	96646000			158050000		
323150000	402840000	325980000	625580000	298560000	435650000	502820000	505190000	488160000
1524300000	1626700000	2008800000	2470500000	2159200000	2151200000	2173600000	2119200000	2103600000
98027000	48793000	111670000	24509000	429970000	191060000	344740000	196950000	51620000
					14009000		14549000	8233600
192460000	180040000	250070000	252960000	134870000	283200000	193690000	221440000	300070000
17831000000	15591000000	15774000000	12306000000	9915700000	12375000000	16239000000	12437000000	16710000000
286210000	386820000	339210000	572130000	124220000	241000000	227980000	311500000	
		160110000		274630000				899880000
493060000	230300000	476260000	334440000	251470000	466830000	283020000	178120000	245230000
		134800000	159880000				285110000	155960000
	176880000	169820000	217460000	181520000	91381000		134140000	160280000
2835400000	2888200000	2835300000	2821500000	2356100000	2626300000	2581500000	3254000000	2338500000
333440000	229580000	225350000	263770000	226600000	236000000	270940000	293480000	147530000
17071000000	17084000000	17275000000	24047000000	25175000000	25480000000	23053000000	22005000000	20900000000
860830000	676860000	1092300000	1209700000	846960000	1015300000	985940000	1189100000	1297400000
32873000	40637000		39389000	82332000		78697000	143600000	
1294000000	1949900000	1991400000	1765900000	1232500000	1272200000	863230000	360320000	886910000
654540000	571000000	362900000	317500000	663640000	829170000	568780000	430540000	514090000
81511000	79440000	91854000					129830000	106060000
136930000	99475000	147300000		44696000				54398000
196490000	151730000	109310000	164120000	74187000	138360000		127970000	
635240000	627160000	312910000	190330000	319460000	382370000			211380000
1012700000	1091600000	889520000	1207700000	1014400000	1011300000	940900000	767310000	1007500000
3591700000	3684700000	5066600000	5286400000	4754900000	3965000000	4521100000	5007700000	4725100000
533070000	552180000	194600000	643870000	472220000	478730000	408210000	496010000	375040000
	72071000		100160000	82941000			92835000	112380000
1457900000	1879400000	1623000000	2080800000	2415900000	2468100000	1411300000	2009100000	1582600000
7.22E+11	7.02E+11	6.00E+11	3.74E+11	5.53E+11	5.07E+11	4.61E+11	4.51E+11	4.46E+11
					29347000			
220760000	267610000	224250000	376300000	183860000		191130000	280940000	287040000
8867300000	8282800000	9782000000	11141000000	8976200000	10700000000	9972900000	9706300000	8955400000
227970000	149210000	274060000	154830000	919960000	399170000	618860000	790900000	758860000
283750000	365220000	228680000	261250000	322840000	449950000	233140000	298620000	304780000
				25449000				
132430000	254680000	331650000	642810000	149250000	226850000	401020000	456170000	371180000
	152270000		87154000	71755000		61699000	28031000	
15183000000	16878000000	14926000000	16666000000	14536000000	11962000000	8324500000	8400200000	9619000000
10295000000	10641000000	10053000000	10557000000	9321500000	10308000000	5432800000	5724300000	5416200000
			262130000			255470000		453990000
263060000	106590000			258990000	346270000		149840000	
	200200000	190570000	441630000	579650000	453990000	515990000	515720000	356100000
2662200000	2960200000	2917300000	2351100000	2150200000	2510500000	1814500000	2319700000	2139300000
527800000	578800000	258850000	294810000	264170000	507680000	271750000	245910000	339030000
721830000	789530000	807860000	895450000	820500000	824180000	896360000	1028300000	1381200000
2828100000	2696100000	2720300000	3162800000	2878500000	3235200000	3056100000	3367500000	3211400000
643330000	733600000	596000000	673600000	722410000	433740000	468730000	547090000	450600000
837180000	619570000	812150000	339320000	243090000	352710000	371210000	364360000	833690000
2997800000	2830200000	3580100000	2808100000	2965000000	3181900000	2472800000	2416900000	3250100000
147540000	156900000			198090000				34780000
309870000	219750000	286930000	348590000		114970000	246360000	202900000	233350000
	50171000	86775000	103010000					
11180000000	10897000000	12771000000	13388000000	12449000000	12173000000	12935000000	15765000000	12176000000
1276400000	950470000	1726500000	3403600000	1365800000	1729900000	1049200000	1726400000	1372800000
81050000						49976000		
							38453000	
5156300000	5400800000	6694600000	5287900000	5729800000	5040100000	5278000000	6004200000	6698500000
