sample_id	A2M	A2M-AS1	A2ML1	A2MP1	A3GALT2	A4GALT	A4GNT	AA06	AAAS	AACS
pts378	7.19879861188616	-0.432454552356253	-3.8160371651574	-9.96578428466209	-9.96578428466209	3.52494126566186	-4.608232280044	-9.96578428466209	3.79815422743359	4.5571037009221
pts1104	6.32230675263894	-1.39213709716876	5.09131901392759	-9.96578428466209	-9.96578428466209	6.41432160969704	-9.96578428466209	-9.96578428466209	4.3512749612217	3.94775965312091
pts947	7.49426358815918	-2.46593839757888	-2.93236128312464	-9.96578428466209	-9.96578428466209	-0.641603738043346	-4.608232280044	-9.96578428466209	4.28399583072712	1.16414264884831
pts990	6.23861491799389	-4.608232280044	-6.50635266602479	-9.96578428466209	-4.29335894269059	-1.0862010350493	-5.57346686188333	-9.96578428466209	6.00654488587529	2.71830682186701
pts1203	7.20565642508991	-3.30757280191029	-9.96578428466209	-4.0350469470992	-3.62593428177746	1.57094860517333	-9.96578428466209	-9.96578428466209	4.60768539498224	5.28802627583967
pts1327	5.13426201819178	-1.88363524330822	-0.710755714843358	-9.96578428466209	-2.63486740654747	5.40296087838338	-9.96578428466209	-9.96578428466209	4.32344212995092	3.91466018975444
pts1401	7.94843147973078	-9.96578428466209	0.434027674663597	-9.96578428466209	-9.96578428466209	2.37601248772974	-3.30757280191029	-9.96578428466209	5.86742701766117	4.38894720089362
pts1155	7.47103297056814	-1.35475948735473	1.79118894150336	-9.96578428466209	-9.96578428466209	6.30489429803271	-9.96578428466209	-9.96578428466209	3.76670116040981	3.80642717700988
pts573	7.06954106585372	-9.96578428466209	3.79711676511297	-9.96578428466209	-9.96578428466209	2.33084518962342	-9.96578428466209	-9.96578428466209	4.80017513563879	2.66243339556135
pts825	5.52860257275754	-2.72737954533701	-2.93236128312464	-9.96578428466209	-9.96578428466209	3.82283210158867	-9.96578428466209	-9.96578428466209	4.69882966020385	4.3512749612217
pts1528	3.13109555164169	-2.63486740654747	-9.96578428466209	-9.96578428466209	-9.96578428466209	1.37350901551801	-3.8160371651574	-9.96578428466209	3.62304744803812	1.89956236015469
pts1508	8.15294898835976	-0.554273296650016	-0.338250400189295	-3.04692104738749	-9.96578428466209	5.59756096935315	-9.96578428466209	-9.96578428466209	4.24191643393021	3.69164582430093
pts1708	4.33635480664323	-1.68501351453148	4.85354660581543	-4.608232280044	-9.96578428466209	2.24214516084958	-5.01158797427521	-9.96578428466209	2.97654693984849	2.32509853776749
pts1352	6.40123793133327	-3.62593428177746	-2.63486740654747	-6.50635266602479	-9.96578428466209	5.34237695763024	-5.01158797427521	-9.96578428466209	4.43769382246542	3.66687018544739
pts1066	7.20154565021638	-1.51045706435753	3.24351676137205	-2.31473259348316	-9.96578428466209	6.00317494139836	-9.96578428466209	-9.96578428466209	4.20484498579147	2.98932069555447
pts1017	7.82120635713255	-0.492078535042672	-2.82623293226329	-3.30757280191029	-9.96578428466209	3.48039439001216	-5.01158797427521	-9.96578428466209	4.52738316918496	2.94691796798583
pts1358	6.24471584306531	-2.31473259348316	5.19341693869573	-9.96578428466209	-9.96578428466209	3.73454705387929	-5.01158797427521	-9.96578428466209	5.57745904122809	3.57058436489177
pts1510	6.04025683871273	-1.51045706435753	-9.96578428466209	-9.96578428466209	-9.96578428466209	1.75745001623129	-9.96578428466209	-9.96578428466209	5.12849962698339	4.02777332885717
pts1164	6.64329342896329	-4.29335894269059	-1.31832585820717	-9.96578428466209	-4.608232280044	3.85509271580275	-9.96578428466209	-9.96578428466209	4.90163925790899	3.8944297595294
pts1412	4.8826919534496	-2.63486740654747	-2.05289494843213	-4.29335894269059	-9.96578428466209	3.9317775949217	-9.96578428466209	-9.96578428466209	4.88073449574842	3.49069847838818
pts1145	6.21258879253627	-1.99424073071132	-6.50635266602479	-9.96578428466209	-9.96578428466209	2.74222184423398	-5.57346686188333	-9.96578428466209	4.43569526048961	3.04281941113493
pts1425	5.9162616573047	-2.05289494843213	4.52425177569806	-5.01158797427521	-9.96578428466209	6.37401353646863	-3.62593428177746	-9.96578428466209	4.14494369488099	5.22654706281548
pts1554	7.71966946029561	-0.471928835421265	4.44499828686331	-4.0350469470992	-9.96578428466209	4.30312316768571	-9.96578428466209	-9.96578428466209	4.08669885927444	3.58868465719203
pts1619	8.31719099154892	0.0579700686373299	-4.29335894269059	-3.30757280191029	-9.96578428466209	3.45693753623852	-3.30757280191029	-3.04692104738749	4.57173747711591	2.7593689192509
pts1809	6.65264423624906	-1.55215635563791	-2.11403524324603	-9.96578428466209	-2.72737954533701	3.01810000750257	-9.96578428466209	-9.96578428466209	4.41623173668887	4.34773651384578
pts1873	7.0019260641418	-0.554273296650016	-2.11403524324603	-3.45798964446339	-9.96578428466209	3.33642622188672	-5.01158797427521	-9.96578428466209	5.0448749375735	4.83496397874682
pts1079	5.5360839924707	-2.11403524324603	-0.267079617891743	-9.96578428466209	-9.96578428466209	5.12643603949217	-9.96578428466209	-9.96578428466209	3.79295943915889	2.54868321815718
